County/City,Ward,Pct,"Richard Nixon","Hubert Humphrey","George E. Wallace","Henning Blomen","Dick Gregory","E. Harold Munn","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic,"American Independent","Socialist Labor","Peace and Freedom",Prohibition
"Fauquier County",,,"2,845","2,099","1,536",6,11,4,0,0,"6,501"
"Floyd County",,,"2,275",715,537,2,6,2,0,0,"3,537"
"Fluvanna County",,,913,569,660,3,0,0,0,0,"2,145"
"Franklin County",,,"3,036","2,025","3,219",10,9,9,0,0,"8,308"
"Franklin City",,,951,792,511,0,2,0,0,0,"2,256"
"Frederick County",,,"3,696","1,612","2,137",1,6,2,0,0,"7,454"
"Fredericksburg City",,,"2,142","2,036",878,4,6,2,0,0,"5,068"
"Galax City",,,"1,257",748,304,0,0,0,0,0,"2,309"
"Giles County",,,"2,722","2,045","1,372",123,10,5,0,0,"6,277"
"Gloucester County",,,"1,619","1,210","1,526",3,4,2,0,0,"4,364"
"Goochland County",,,"1,216","1,389",836,13,4,3,0,0,"3,461"
